日時,元ファイル,新ファイル,ステータス,メッセージ
2026/5/26 14:53,20250304_Active Gate・Vault_見積書・注文書_14938654.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250310_Active Gate・Vault_注文書_14938075.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250310_Active Gate・Vault_注文書_14938643.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250310_Active Gate・Vault_注文書_14938654.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250610_Active Gate・Vault_注文書_14976018.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250610_Active Gate・Vault_見積書・注文書_14976018.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250611_Active Gate・Vault_見積書・注文書_14976789.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250612_Active Gate・Vault_注文書_14976789.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20251203_Active Gate・Vault_見積書・注文書_15043187.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20251209_Active Gate・Vault_注文書_15043187.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,利用申込書_〇〇株式会社_2026-01-05 19-30_Nホス追記.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250325_Adobe_見積書・注文書_14946300.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250328_Adobe_注文書_14946300.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250730_Adobe_見積書・注文書_14995934.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250804_Adobe_注文書_14995934.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20260304_Adobe_見積書・注文書_15077473.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20260309_Adobe_注文書_15077473.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20260407_Adobe_見積書_15090736.pdf,,SKIP,命名規則一致
2026/5/26 14:53,20260410_Adobe_注文書_15090736.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20251014_Android Enterprise_見積書・注文書_15016579.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20251017_Android Enterprise_注文書_15016579.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250304_Lanscopeライセンス_見積書・注文書_14938643.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250310_Lanscopeライセンス_注文書_14938643.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20251010_Lanscopeライセンス_見積書・注文書_15023297.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20251017_Lanscopeライセンス_注文書_15023297.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20260302_Lanscopeライセンス_見積書・注文書_15076226.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20260303_Lanscopeライセンス_見積書・注文書_15077088.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20260305_Lanscopeライセンス_注文書_15076226.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20260407_Lanscopeライセンス_見積書_15082327.pdf,,SKIP,命名規則一致
2026/5/26 14:53,20260407_Lanscopeライセンス_見積書_15082328.pdf,,SKIP,命名規則一致
2026/5/26 14:53,20260410_Lanscopeライセンス_注文書_15082328.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20260410_Lanscopeライセンス更新_注文書_15082327.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250122_Lanscopeリモートデスクトップ_見積書・注文書_14920640.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250124_Lanscopeリモートデスクトップ_注文書_14920640.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20260203_Lanscopeリモートデスクトップ_見積書・注文書_15065651.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20260210_Lanscopeリモートデスクトップ_注文書_15065651.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250627_Lanscope紛失対応オプション_見積書・注文書_14979859.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250709_Lanscope紛失対応オプション_注文書_14979859.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250220_Ｍ365_注文書_14933568.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250220_Ｍ365_見積書・注文書_14933568.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250304_Ｍ365_見積書・注文書_14938075.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250310_Ｍ365_注文書_14938075.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250314_Ｍ365_見積書・注文書_14943312.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250317_Ｍ365_注文書_14943312.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250318_Ｍ365_見積書・注文書_14944223.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250328_Ｍ365_注文書_14944223.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250422_Ｍ365_見積書・注文書_14957312.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250428_Ｍ365_注文書_14957312.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250602_Ｍ365_見積書・注文書_14972757.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250602_Ｍ365_見積書・注文書_14972759.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250610_Ｍ365_注文書_14972757.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250610_Ｍ365_注文書_14972759.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250715_Ｍ365_注文書_14990667.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250715_Ｍ365_見積書・注文書_14990667.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250801_Ｍ365_注文書_14997036.pdf,,SKIP,注文書のため対象外
2026/5/26 14:53,20250801_Ｍ365_見積書・注文書_14997036.pdf,,SKIP,注文書のため対象外
